id,url,created_at,text,lang,author_username,author_name,author_followers,likes,retweets,replies,quotes,views,bookmarks,is_reply,is_retweet,is_quote,source,media_count,media_urls
2054488212824088977,https://x.com/LoraFinance/status/2054488212824088977,Wed May 13 09:05:35 +0000 2026,@izebel_eth @papertrade_xyz @blurr same mechanism here 🤔,en,LoraFinance,Lora Finance,35462,1,0,3,0,367,0,True,False,False,Twitter for iPhone,0,
2045124395770020165,https://x.com/LoraFinance/status/2045124395770020165,Fri Apr 17 12:57:07 +0000 2026,Join the 1% trading winners with Lora Finance,en,LoraFinance,Lora Finance,35462,45,13,14,0,4892,0,False,False,True,Twitter for iPhone,1,https://pbs.twimg.com/media/HGG8BYubQAA2W52.jpg
2043271930686636491,https://x.com/LoraFinance/status/2043271930686636491,Sun Apr 12 10:16:05 +0000 2026,@zamdoteth gmgm! talked to you once on TG,en,LoraFinance,Lora Finance,35462,2,0,1,0,339,0,True,False,False,Twitter for iPhone,0,
2043106032151597187,https://x.com/LoraFinance/status/2043106032151597187,Sat Apr 11 23:16:51 +0000 2026,"Crypto after speculation frenzy, is left dried out.",en,LoraFinance,Lora Finance,35462,28,4,4,0,3258,1,False,False,True,Twitter for iPhone,0,
2043105759102406825,https://x.com/LoraFinance/status/2043105759102406825,Sat Apr 11 23:15:46 +0000 2026,@0xKaps it has never been like that anymore since 2020,en,LoraFinance,Lora Finance,35462,2,0,1,0,178,0,True,False,False,Twitter for iPhone,0,
2043096519495295484,https://x.com/LoraFinance/status/2043096519495295484,Sat Apr 11 22:39:03 +0000 2026,@0x7d54 https://t.co/5iLFzPcpKO,qme,LoraFinance,Lora Finance,35462,1,0,1,0,467,0,True,False,False,Twitter for iPhone,2,https://video.twimg.com/amplify_video/2043096444954132480/vid/avc1/1280x532/OrZCm9km1bWHUgc2.mp4?tag=21 https://pbs.twimg.com/amplify_video_thumb/2043096444954132480/img/O6x3Tlz-j5SQ94Lx.jpg
2043054959579795795,https://x.com/LoraFinance/status/2043054959579795795,Sat Apr 11 19:53:55 +0000 2026,@hufhaus9 most of them are just engagement farming and masking their dead,en,LoraFinance,Lora Finance,35462,2,0,0,0,171,0,True,False,False,Twitter for iPhone,0,
2043038679996993824,https://x.com/LoraFinance/status/2043038679996993824,Sat Apr 11 18:49:13 +0000 2026,"At @lorafinance we are actively raising, as early as possible, from Crypto VCs. 30,000 DAUs everyday. Reach out!  If we somehow get a VC call after this, we'll deliver the best ""no liquidation"" option protocol.  If not, just know that most VCs dgaf if you aren't in SF or didn't graduate from an Ivy League. All this ""actively deploying"" is just butterflies masking their winding down phase.",en,LoraFinance,Lora Finance,35462,361,683,34,11,14346,15,False,False,True,Twitter for iPhone,0,
2041988342812963328,https://x.com/LoraFinance/status/2041988342812963328,Wed Apr 08 21:15:33 +0000 2026,@uv Interested in working on an AI Audit. How do we start?,en,LoraFinance,Lora Finance,35462,2,0,1,0,399,0,True,False,False,Twitter for iPhone,0,
2041922172076356070,https://x.com/LoraFinance/status/2041922172076356070,Wed Apr 08 16:52:37 +0000 2026,@AstariaTrade megaeth,cy,LoraFinance,Lora Finance,35462,5,0,0,0,3106,0,True,False,False,Twitter for iPhone,0,
2041607552161738891,https://x.com/LoraFinance/status/2041607552161738891,Tue Apr 07 20:02:26 +0000 2026,@AstariaTrade megaeth,cy,LoraFinance,Lora Finance,35462,2,0,0,0,251,0,True,False,False,Twitter for iPhone,0,
2041564703386956073,https://x.com/LoraFinance/status/2041564703386956073,Tue Apr 07 17:12:10 +0000 2026,Queue 2 is now open.   The public is next.   Test our protocol → https://t.co/DdqI3yzBiM https://t.co/3jM2pCuv10,en,LoraFinance,Lora Finance,35462,93,16,28,1,6956,13,False,False,False,Twitter for iPhone,2,https://video.twimg.com/amplify_video/2041564596360900615/vid/avc1/1920x1080/d_UH937nrLVxloWD.mp4?tag=21 https://pbs.twimg.com/amplify_video_thumb/2041564596360900615/img/AkNAZ7owZvI6TyIH.jpg
2040858724487856130,https://x.com/LoraFinance/status/2040858724487856130,Sun Apr 05 18:26:51 +0000 2026,Nothing for Sunday.   Touching grass before the war https://t.co/vGV6cvm5Sh,en,LoraFinance,Lora Finance,35462,76,6,13,1,2928,1,False,False,False,Twitter for iPhone,1,https://pbs.twimg.com/media/HFKWFWGbcAAttX2.jpg
2040490948074066123,https://x.com/LoraFinance/status/2040490948074066123,Sat Apr 04 18:05:27 +0000 2026,@aidanzx55 Probably there won't be queue 3.,en,LoraFinance,Lora Finance,35462,2,0,1,0,1727,0,True,False,False,Twitter for iPhone,0,
2040486160594841801,https://x.com/LoraFinance/status/2040486160594841801,Sat Apr 04 17:46:25 +0000 2026,48 hours  Queue 2 unlocks.  → https://t.co/DdqI3yzBiM https://t.co/eWpIa3DMeI,en,LoraFinance,Lora Finance,35462,1018,1619,118,12,35346,55,False,False,False,Twitter for iPhone,1,https://pbs.twimg.com/media/HFFDIexbQAAt3WI.jpg
2039666864541020454,https://x.com/LoraFinance/status/2039666864541020454,Thu Apr 02 11:30:50 +0000 2026,"""we are gonna make it""  liquidation: https://t.co/gUJfjQxUnZ",en,LoraFinance,Lora Finance,35462,76,6,11,1,8258,4,False,False,False,Twitter for iPhone,2,https://video.twimg.com/amplify_video/2039666690259320833/vid/avc1/1064x1920/_r6RGmCKO8N6DB6C.mp4?tag=21 https://pbs.twimg.com/amplify_video_thumb/2039666690259320833/img/d64QjAd09Z-bj9FD.jpg
2038692292366905349,https://x.com/LoraFinance/status/2038692292366905349,Mon Mar 30 18:58:14 +0000 2026,@BNNBags Are we qualified?,en,LoraFinance,Lora Finance,35462,4,0,2,0,377,0,True,False,False,Twitter for iPhone,0,
2038667212278673686,https://x.com/LoraFinance/status/2038667212278673686,Mon Mar 30 17:18:34 +0000 2026,@PrismFi_ @Polymarket @ethena @USDT0_to You guys have everything! When Lora Finance integration?,en,LoraFinance,Lora Finance,35462,4,0,1,0,529,0,True,False,False,Twitter for iPhone,0,
2038281966907506933,https://x.com/LoraFinance/status/2038281966907506933,Sun Mar 29 15:47:45 +0000 2026,@NSHUNTR cuz no liquidation,en,LoraFinance,Lora Finance,35462,2,0,0,0,631,0,True,False,False,Twitter for iPhone,0,
2038281027370750242,https://x.com/LoraFinance/status/2038281027370750242,Sun Mar 29 15:44:01 +0000 2026,"@1974akkoca Ok.   Step 1: You open our picture Step 2: Right click if you are on PC, press hold if you are on the phone  Step 3: Save the image as png or to your album cuz you'll have exactly same as mine.   No liquidation, thanks.",en,LoraFinance,Lora Finance,35462,2,0,1,0,622,0,True,False,False,Twitter for iPhone,0,
2038278418761204210,https://x.com/LoraFinance/status/2038278418761204210,Sun Mar 29 15:33:39 +0000 2026,This is what I got in the Lora Finance Liquidation Wrapped. I'm touching grass on Sunday as usual.   Join Testnet queue 2  https://t.co/DdqI3yzBiM https://t.co/Ac3RllN0PV,en,LoraFinance,Lora Finance,35462,801,1172,116,5,22961,39,False,False,False,Twitter for iPhone,1,https://pbs.twimg.com/media/HElqf0ibwAASTys.jpg
2038034756806627364,https://x.com/LoraFinance/status/2038034756806627364,Sat Mar 28 23:25:25 +0000 2026,"@IamWeal12644247 Interesting, mind send your idea into dm? We would need more clarification.",en,LoraFinance,Lora Finance,35462,6,1,2,0,438,0,True,False,False,Twitter for iPhone,0,
2038002569696714808,https://x.com/LoraFinance/status/2038002569696714808,Sat Mar 28 21:17:31 +0000 2026,@YeheskielTame @OctantApp Congrats to you!,en,LoraFinance,Lora Finance,35462,3,0,1,0,302,0,True,False,False,Twitter for iPhone,0,
2037989181205709044,https://x.com/LoraFinance/status/2037989181205709044,Sat Mar 28 20:24:19 +0000 2026,And we will execute it this way. We don't care if you have many smart followers or not.   An user is a valuable user.,en,LoraFinance,Lora Finance,35462,69,10,9,0,3901,2,False,False,True,Twitter for iPhone,0,
2037612702127047142,https://x.com/LoraFinance/status/2037612702127047142,Fri Mar 27 19:28:19 +0000 2026,Mainnet will be something.,en,LoraFinance,Lora Finance,35462,67,8,11,0,4438,1,False,False,True,Twitter for iPhone,0,
2037482298724261989,https://x.com/LoraFinance/status/2037482298724261989,Fri Mar 27 10:50:09 +0000 2026,@eastweb3eth I thought you were able to access it?,en,LoraFinance,Lora Finance,35462,1,0,3,0,343,0,True,False,False,Twitter for iPhone,0,
2037258820809089418,https://x.com/LoraFinance/status/2037258820809089418,Thu Mar 26 20:02:07 +0000 2026,@gawdwinn Our DM actually...,en,LoraFinance,Lora Finance,35462,2,0,3,0,1524,0,True,False,False,Twitter for iPhone,0,
2037250231969239358,https://x.com/LoraFinance/status/2037250231969239358,Thu Mar 26 19:28:00 +0000 2026,"All issues fixed  In the last 4 days, due to a huge influx of users coming in to the platform, our position closer shut down, leading to inability to close underwater positions. As such, the tokens claimed got instantly consumed after claim.    We received the feedbacks from users and immediately took actions. Everyone who submitted the feedback has been compensated. This is what the testnet and all the waitlist is for. Please continue helping us to build this platform. We are opening for queue 2 next week.   -> Queue here: https://t.co/bLEV6hvIlF",en,LoraFinance,Lora Finance,35462,868,1401,102,6,27736,14,False,False,False,Twitter for iPhone,1,https://pbs.twimg.com/media/HEWph_BboAAGj_9.jpg
